batman,bowler,0,1,2,3,4,6,notout,balls
RV Uthappa,JP Faulkner,0.3333333333,0.6666666667,0.9166666667,0.9166666667,1,1,1,12
PA Patel,Z Khan,0.3333333333,0.8333333333,0.8333333333,0.8333333333,1,1,1,12
HH Pandya,K Rabada,0.6666666667,0.8333333333,0.8333333333,0.9166666667,0.9166666667,1,0.9166666667,12
AM Rahane,B Kumar,0.5,1,1,1,1,1,1,12
MS Dhoni,Mohammed Siraj,0.1666666667,0.6666666667,0.75,0.75,0.9166666667,1,1,12
SK Raina,T Natarajan,0.25,0.75,0.8333333333,0.8333333333,1,1,1,12
SPD Smith,Kuldeep Yadav,0.25,0.75,0.9166666667,0.9166666667,1,1,1,12
G Gambhir,CJ Anderson,0.1666666667,0.5833333333,0.6666666667,0.6666666667,1,1,0.9166666667,12
G Gambhir,A Mishra,0.3333333333,0.6666666667,0.6666666667,0.6666666667,1,1,1,12
SE Marsh,Rashid Khan,0.5833333333,0.8333333333,0.8333333333,0.8333333333,1,1,1,12
RG Sharma,SR Watson,0.1666666667,0.6666666667,0.75,0.75,1,1,1,12
BA Stokes,PJ Sangwan,0.3333333333,0.6666666667,0.8333333333,0.8333333333,0.9166666667,1,1,12
Yuvraj Singh,A Mishra,0.5,0.9166666667,0.9166666667,0.9166666667,1,1,1,12
Yuvraj Singh,Mohammed Shami,0.3333333333,0.75,0.75,0.75,1,1,1,12
CA Lynn,YS Chahal,0.3333333333,0.3333333333,0.5,0.5,0.75,1,1,12
DR Smith,Sandeep Sharma,0.4166666667,0.75,0.75,0.75,1,1,1,12
CA Lynn,R Tewatia,0.4166666667,1,1,1,1,1,1,12
Ishan Kishan,Mohammed Shami,0.75,0.75,0.75,0.75,0.9166666667,1,1,12
AJ Finch,CR Brathwaite,0.0833333333,0.6666666667,0.6666666667,0.6666666667,0.9166666667,1,1,12
SS Iyer,DS Kulkarni,0.4166666667,0.5833333333,0.6666666667,0.6666666667,1,1,1,12
G Gambhir,MG Johnson,0.5,0.6666666667,0.6666666667,0.6666666667,0.9166666667,1,0.9166666667,12
G Gambhir,KV Sharma,0.5833333333,0.8333333333,0.8333333333,0.8333333333,1,1,0.9166666667,12
V Kohli,CJ Anderson,0.1666666667,0.8333333333,0.9166666667,0.9166666667,0.9166666667,1,1,12
MK Tiwary,KH Pandya,0.5,0.8333333333,0.9166666667,0.9166666667,1,1,1,12
