batid,bowlid,batsman,bowler,0,1,2,3,4,6,out,batclustno,bowlclustno,balls
4,204,GJ Maxwell,R Bhatia,0.5,0.0,0.0,0.0,0.5,0.0,0.0,5,2,2,
4,213,GJ Maxwell,BA Stokes,0.42857142857142855,0.2857142857142857,0.0,0.0,0.14285714285714285,0.14285714285714285,0.0,5,4,7,
216,213,DA Miller,BA Stokes,0.5,0.3333333333333333,0.0,0.0,0.16666666666666666,0.0,0.0,0,4,6,
4,160,GJ Maxwell,AB Dinda,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5,3,1,
216,160,DA Miller,AB Dinda,0.2,0.2,0.4,0.0,0.0,0.2,0.0,0,3,5,
3,235,CH Gayle,Z Khan,0.6153846153846154,0.2307692307692308,0.0,0.0,0.15384615384615385,0.0,0.0,5,5,13,
17,235,SR Watson,Z Khan,0.4,0.2,0.0,0.0,0.4,0.0,0.0,5,5,5,
17,215,SR Watson,CH Morris,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,5,4,3,
3,215,CH Gayle,CH Morris,0.8,0.0,0.0,0.0,0.2,0.0,0.2,5,4,5,
17,174,SR Watson,PJ Cummins,0.375,0.375,0.125,0.0,0.125,0.0,0.0,5,3,8,
3,174,CH Gayle,PJ Cummins,0.375,0.625,0.0,0.0,0.0,0.0,0.0,5,3,8,
226,215,Mandeep Singh,CH Morris,0.75,0.0,0.0,0.0,0.25,0.0,0.0,4,4,4,
17,176,SR Watson,S Nadeem,0.6363636363636364,0.3636363636363637,0.0,0.0,0.0,0.0,0.09090909090909093,5,3,11,
226,176,Mandeep Singh,S Nadeem,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4,3,2,
226,174,Mandeep Singh,PJ Cummins,0.5,0.0,0.0,0.0,0.5,0.0,0.25,4,3,4,
223,174,KM Jadhav,PJ Cummins,0.5,0.3333333333333333,0.16666666666666666,0.0,0.0,0.0,0.0,0,3,6,
223,176,KM Jadhav,S Nadeem,0.2857142857142857,0.7142857142857143,0.0,0.0,0.0,0.0,0.0,0,3,7,
223,145,KM Jadhav,A Mishra,0.2727272727272727,0.09090909090909093,0.18181818181818185,0.0,0.18181818181818185,0.2727272727272727,0.0,0,1,11,
17,145,SR Watson,A Mishra,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5,1,1,
192,176,STR Binny,S Nadeem,0.4,0.6,0.0,0.0,0.0,0.0,0.0,2,3,5,
223,235,KM Jadhav,Z Khan,0.38461538461538464,0.4615384615384616,0.0,0.0,0.07692307692307693,0.07692307692307693,0.07692307692307693,0,5,13,
192,235,STR Binny,Z Khan,0.42857142857142855,0.42857142857142855,0.14285714285714285,0.0,0.0,0.0,0.14285714285714285,2,5,7,
192,174,STR Binny,PJ Cummins,0.25,0.5,0.0,0.0,0.25,0.0,0.0,2,3,4,
192,164,STR Binny,CR Brathwaite,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,2,3,3,
223,164,KM Jadhav,CR Brathwaite,0.125,0.25,0.125,0.0,0.25,0.25,0.0,0,3,8,
161,164,Vishnu Vinod,CR Brathwaite,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3,3,2,
161,235,Vishnu Vinod,Z Khan,0.25,0.5,0.0,0.0,0.0,0.25,0.25,3,5,4,
48,215,Iqbal Abdulla,CH Morris,0.5,0.5,0.0,0.0,0.0,0.0,0.0,4,4,4,
185,215,P Negi,CH Morris,0.6,0.2,0.0,0.0,0.0,0.2,0.2,2,4,5,
185,174,P Negi,PJ Cummins,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,2,3,3,
48,174,Iqbal Abdulla,PJ Cummins,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,4,3,3,
158,215,TS Mills,CH Morris,1.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,3,4,3,
104,183,AP Tare,B Stanlake,0.7,0.1,0.0,0.0,0.2,0.0,0.0,3,2,10,
232,183,SW Billings,B Stanlake,0.3333333333333333,0.3333333333333333,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0,2,6,
232,158,SW Billings,YS Chahal,0.2857142857142857,0.5714285714285714,0.0,0.0,0.0,0.14285714285714285,0.0,0,1,7,
104,158,AP Tare,YS Chahal,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3,1,2,
232,191,SW Billings,Iqbal Abdulla,0.2,0.6,0.2,0.0,0.0,0.0,0.2,0,2,5,
104,191,AP Tare,Iqbal Abdulla,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,3,2,3,
